杭州市流出目标地区,外迁量o*
锡林郭勒盟,0
丽江市,0
镇江市,0
长春市,0
丽水市,0
长治市,0
长白山保护开发区,0
阜新市,0
阜阳市,0
防城港市,0
临沧市,0
阳泉市,0
临夏回族自治州,0
阿勒泰地区,0
阿坝藏族羌族自治州,0
阿拉善盟,0
阿里地区,0
陇南市,0
随州市,0
雅安市,0
中山市,0
中卫市,0
东营市,0
马鞍山市,0
驻马店市,0
东莞市,0
上海市,0
鹤岗市,0
三门峡市,0
黄冈市,0
黄南藏族自治州,0
三沙市,0
黄石市,0
黑河市,0
七台河市,0
黔南布依族苗族自治州,0
三亚市,0
齐齐哈尔市,0
龙岩市,0
max: 55.00000000000001%
