地区,外迁量O,流入量I,本地过户量L,总交易量Q(O+I+L）,外迁率KO（O/Q）,本地过户率KL（L/Q）,外迁值VO(KO*O)的平方根,外迁指数IO=VO/VOmax,本地交易值VL(KL*L)的平方根,本地交易指数IL=VL/Vlmax
贺州市,3,8,31,42,0.07,0.74,0.46,0.02,4.79,0.22
资阳市,30,4,13,47,0.64,0.28,4.38,0.15,1.91,0.09
赣州市,10,12,81,103,0.1,0.79,1.0,0.04,8.0,0.36
赤峰市,8,45,61,114,0.07,0.54,0.75,0.03,5.74,0.26
辽源市,5,11,13,29,0.17,0.45,0.92,0.03,2.42,0.11
辽阳市,27,13,116,156,0.17,0.74,2.14,0.08,9.26,0.42
达州市,9,5,19,33,0.27,0.58,1.56,0.06,3.32,0.15
运城市,8,18,83,109,0.07,0.76,0.75,0.03,7.94,0.36
连云港市,7,5,116,128,0.05,0.91,0.59,0.02,10.27,0.46
迪庆藏族自治州,0,3,6,9,0.0,0.67,0.0,0.0,2.0,0.09
通化市,18,15,51,84,0.21,0.61,1.94,0.07,5.58,0.25
通辽市,6,57,60,123,0.05,0.49,0.55,0.02,5.42,0.24
遂宁市,6,5,45,56,0.11,0.8,0.81,0.03,6.0,0.27
遵义市,31,12,52,95,0.33,0.55,3.2,0.11,5.35,0.24
邢台市,15,7,63,85,0.18,0.74,1.64,0.06,6.83,0.31
那曲地区,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
邯郸市,29,2,114,145,0.2,0.79,2.41,0.09,9.49,0.43
邵阳市,9,18,58,85,0.11,0.68,0.99,0.03,6.28,0.28
郑州市,174,34,329,537,0.32,0.61,7.46,0.26,14.17,0.64
郴州市,16,9,80,105,0.15,0.76,1.55,0.05,7.8,0.35
鄂尔多斯市,32,69,141,242,0.13,0.58,2.04,0.07,9.04,0.41
鄂州市,1,8,19,28,0.04,0.68,0.2,0.01,3.59,0.16
酒泉市,2,19,18,39,0.05,0.46,0.32,0.01,2.88,0.13
重庆市,257,24,301,582,0.44,0.52,10.63,0.38,12.51,0.56
金华市,78,7,223,308,0.25,0.72,4.42,0.16,12.67,0.57
金昌市,9,11,19,39,0.23,0.49,1.44,0.05,3.05,0.14
钦州市,4,24,28,56,0.07,0.5,0.53,0.02,3.74,0.17
铁岭市,82,184,189,455,0.18,0.42,3.84,0.14,8.91,0.4
铜仁地区,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
铜仁市,11,15,7,33,0.33,0.21,1.91,0.07,1.21,0.05
铜川市,3,4,7,14,0.21,0.5,0.79,0.03,1.87,0.08
铜陵市,4,29,11,44,0.09,0.25,0.6,0.02,1.66,0.07
银川市,18,246,207,471,0.04,0.44,0.85,0.03,9.54,0.43
锡林郭勒盟,10,19,30,59,0.17,0.51,1.3,0.05,3.91,0.18
锦州市,18,61,83,162,0.11,0.51,1.41,0.05,6.51,0.29
镇江市,10,7,63,80,0.12,0.79,1.1,0.04,7.05,0.32
长春市,65,78,153,296,0.22,0.52,3.78,0.13,8.92,0.4
长沙市,76,67,413,556,0.14,0.74,3.26,0.12,17.48,0.79
长治市,19,10,62,91,0.21,0.68,2.0,0.07,6.49,0.29
长白山保护开发区,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
阜新市,9,26,111,146,0.06,0.76,0.73,0.03,9.18,0.41
阜阳市,28,12,46,86,0.33,0.53,3.04,0.11,4.94,0.22
防城港市,3,17,35,55,0.05,0.64,0.39,0.01,4.73,0.21
阳江市,7,77,53,137,0.05,0.39,0.59,0.02,4.55,0.21
阳泉市,9,8,39,56,0.16,0.7,1.2,0.04,5.22,0.24
阿克苏地区,3,65,44,112,0.03,0.39,0.3,0.01,4.14,0.19
阿勒泰地区,3,7,11,21,0.14,0.52,0.65,0.02,2.39,0.11
阿坝藏族羌族自治州,3,8,2,13,0.23,0.15,0.83,0.03,0.55,0.02
阿拉善盟,3,14,10,27,0.11,0.37,0.57,0.02,1.92,0.09
阿里地区,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
陇南市,1,3,4,8,0.12,0.5,0.35,0.01,1.41,0.06
随州市,7,9,43,59,0.12,0.73,0.92,0.03,5.6,0.25
雅安市,3,3,16,22,0.14,0.73,0.65,0.02,3.42,0.15
青岛市,22,33,319,374,0.06,0.85,1.15,0.04,16.47,0.74
鞍山市,27,36,167,230,0.12,0.73,1.8,0.06,11.04,0.5
韶关市,6,45,36,87,0.07,0.41,0.65,0.02,3.84,0.17
马鞍山市,7,6,19,32,0.22,0.59,1.24,0.04,3.35,0.15
驻马店市,19,8,24,51,0.37,0.47,2.65,0.09,3.36,0.15
鸡西市,6,37,71,114,0.05,0.62,0.55,0.02,6.63,0.3
鹤壁市,5,9,18,32,0.16,0.56,0.89,0.03,3.17,0.14
鹤岗市,12,4,22,38,0.32,0.58,1.96,0.07,3.57,0.16
鹰潭市,5,4,30,39,0.13,0.77,0.81,0.03,4.81,0.22
黄冈市,10,5,74,89,0.11,0.83,1.05,0.04,7.84,0.35
黄南藏族自治州,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.05
黄山市,7,5,25,37,0.19,0.68,1.15,0.04,4.12,0.19
黄石市,11,3,33,47,0.23,0.7,1.59,0.06,4.81,0.22
黑河市,13,8,34,55,0.24,0.62,1.77,0.06,4.59,0.21
黔东南苗族侗族自治州,9,7,30,46,0.2,0.65,1.34,0.05,4.42,0.2
黔南布依族苗族自治州,10,12,26,48,0.21,0.54,1.45,0.05,3.75,0.17
黔西南布依族苗族自治州,3,17,20,40,0.07,0.5,0.46,0.02,3.16,0.14
齐齐哈尔市,24,46,118,188,0.13,0.63,1.77,0.06,8.62,0.39
龙岩市,6,5,74,85,0.07,0.87,0.65,0.02,8.02,0.36
