年份,季度,企业,品牌,车型,排量,原城市,流向城市,车龄年,数量
2017,第三季度,上汽通用,别克,昂科威,2.0T,信阳市,南阳市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,襄阳市,襄阳市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,恩施土家族苗族自治州,恩施土家族苗族自治州,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,亳州市,亳州市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,上海市,南通市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,盘锦市,盘锦市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,大庆市,大庆市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,深圳市,梅州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,深圳市,深圳市,1-2年,3
2017,第三季度,上汽通用,别克,昂科威,1.5T,宣城市,宣城市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,丹东市,沈阳市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,黄石市,黄石市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,岳阳市,岳阳市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,河源市,武汉市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,淮南市,周口市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,武威市,兰州市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,资阳市,成都市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,广州市,揭阳市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,成都市,北京市,3-4年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,沈阳市,沈阳市,2-3年,3
2017,第三季度,上汽通用,别克,昂科威,1.5T,宿迁市,金华市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,郑州市,濮阳市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,临沂市,济南市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,昆明市,昆明市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,2.0T,上海市,上海市,3-4年,4
2017,第三季度,上汽通用,别克,昂科威,2.0T,上海市,苏州市,3-4年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,郑州市,郑州市,2-3年,6
2017,第三季度,上汽通用,别克,昂科威,2.0T,福州市,福州市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,西安市,唐山市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,1.5T,深圳市,深圳市,2-3年,3
2017,第三季度,上汽通用,别克,昂科威,1.5T,湛江市,湛江市,1-2年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,盐城市,南京市,2-3年,1
2017,第三季度,上汽通用,别克,昂科威,2.0T,徐州市,徐州市,2-3年,2
2017,第三季度,上汽通用,别克,昂科威,1.5T,东莞市,中山市,2-3年,1
