城市,首次发布时间,标准品牌,标准车系,站点,成份车商名,来源,天眼属性
无锡,2017-09-30,福特,嘉年华两厢,瓜子,瓜子（无锡）,瓜子网,2
青岛,2017-09-30,福特,嘉年华三厢,瓜子,瓜子（青岛）,瓜子网,2
武汉,2017-09-30,福特,嘉年华三厢,淘车,人人车（武汉）,人人车网,2
成都,2017-09-30,福特,嘉年华两厢,淘车,人人车（成都）,人人车网,2
贵阳,2017-09-30,福特,嘉年华两厢,二手车之家,看车网（贵阳）,看车网,2
武汉,2017-09-30,福特,嘉年华两厢,淘车,人人车（武汉）,人人车网,2
西安,2017-09-30,福特,嘉年华两厢,淘车,人人车（西安）,人人车网,2
大连,2017-09-30,福特,嘉年华三厢,淘车,人人车（大连）,人人车网,2
贵阳,2017-09-30,福特,嘉年华三厢,淘车,人人车（贵阳）,人人车网,2
阜阳,2017-09-30,福特,嘉年华三厢,瓜子,瓜子（阜阳）,瓜子网,2
武汉,2017-09-30,福特,嘉年华两厢,瓜子,瓜子（武汉）,瓜子网,2
上海,2017-09-30,福特,嘉年华三厢,淘车,人人车（上海）,人人车网,2
西安,2017-09-30,福特,嘉年华两厢,二手车之家,西安车管家,网络媒体,3
合肥,2017-09-30,福特,嘉年华三厢,淘车,人人车（合肥）,人人车网,2
台州,2017-09-30,福特,嘉年华两厢,百优卡,台州百优卡二手车经纪有限公司,网络媒体,3
陕西,2017-09-30,福特,嘉年华两厢,东风悦达起亚,榆林市阳光汽车发展有限公司,东风悦达起亚,3
邯郸,2017-09-30,福特,嘉年华两厢,二手车之家,邯郸市奥华汽车销售服务有限公司,一汽奥迪,3
厦门,2017-09-30,福特,嘉年华两厢,瓜子,瓜子（厦门）,瓜子网,2
深圳,2017-09-30,福特,嘉年华两厢,二手车之家,看车网（深圳）,看车网,2
淄博,2017-09-30,福特,嘉年华两厢,瓜子,瓜子（淄博）,瓜子网,2
太原,2017-09-30,福特,嘉年华三厢,瓜子,瓜子（太原）,瓜子网,2
潍坊,2017-09-30,福特,嘉年华两厢,二手车之家,潍坊安心汽车销售有限公司,网络媒体,3
天津,2017-09-30,福特,嘉年华三厢,淘车,人人车（天津）,人人车网,2
南京,2017-09-29,福特,嘉年华三厢,淘车,人人车（南京）,人人车网,2
郑州,2017-09-29,福特,嘉年华两厢,二手车之家,郑州宝莲祥汽车销售服务有限公司,华晨宝马,3
太原,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（太原）,瓜子网,2
西安,2017-09-29,福特,嘉年华两厢,淘车,西安优自得汽车销售服务有限公司,网络媒体,3
南宁,2017-09-29,福特,嘉年华两厢,淘车,人人车（南宁）,人人车网,2
泰州,2017-09-29,福特,嘉年华三厢,瓜子,瓜子（泰州）,瓜子网,2
泰州,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（泰州）,瓜子网,2
惠州,2017-09-29,福特,嘉年华两厢,二手车之家,看车网（惠州）,看车网,2
石家庄,2017-09-29,福特,嘉年华三厢,二手车之家,看车网（石家庄）,看车网,2
广州,2017-09-29,福特,嘉年华两厢,淘车,人人车（广州）,人人车网,2
深圳,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（深圳）,瓜子网,2
成都,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（成都）,瓜子网,2
西安,2017-09-29,福特,嘉年华两厢,淘车,人人车（西安）,人人车网,2
乐山,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（乐山）,瓜子网,2
温州,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（温州）,瓜子网,2
石家庄,2017-09-29,福特,嘉年华两厢,淘车,人人车（石家庄）,人人车网,2
厦门,2017-09-29,福特,嘉年华三厢,瓜子,瓜子（厦门）,瓜子网,2
桂林,2017-09-29,福特,嘉年华三厢,淘车,看车网（桂林）,看车网,2
南京,2017-09-29,福特,嘉年华三厢,淘车,看车网（南京）,看车网,2
石家庄,2017-09-29,福特,嘉年华两厢,淘车,人人车（石家庄）,人人车网,2
石家庄,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（石家庄）,瓜子网,2
临沂,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（临沂）,瓜子网,2
徐州,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（徐州）,瓜子网,2
太原,2017-09-29,福特,嘉年华两厢,二手车之家,山西神迪汽车销售有限公司,一汽奥迪,3
桂林,2017-09-29,福特,嘉年华三厢,二手车之家,看车网（桂林）,看车网,2
太原,2017-09-29,福特,嘉年华两厢,二手车之家,山西聚鑫晟达旧机动车经纪服务有限公司,网络媒体,3
佛山,2017-09-29,福特,嘉年华三厢,二手车之家,看车网（佛山）,看车网,2
重庆,2017-09-29,福特,嘉年华两厢,瓜子,瓜子（重庆）,瓜子网,2
大连,2017-09-29,福特,嘉年华三厢,瓜子,瓜子（大连）,瓜子网,2
上海,2017-09-29,福特,嘉年华三厢,瓜子,瓜子（上海）,瓜子网,2
东莞,2017-09-29,福特,嘉年华三厢,瓜子,瓜子（东莞）,瓜子网,2
深圳,2017-09-28,福特,嘉年华两厢,淘车,深圳市奥德汽车贸易有限公司,一汽奥迪,3
西安,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（西安）,瓜子网,2
西安,2017-09-28,福特,嘉年华两厢,淘车,西安优自得汽车销售服务有限公司,网络媒体,3
深圳,2017-09-28,福特,嘉年华两厢,二手车之家,深圳市锦龙汽车贸易有限公司,一汽奥迪,3
合肥,2017-09-28,福特,嘉年华三厢,淘车,人人车（合肥）,人人车网,2
泰州,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（泰州）,瓜子网,2
武汉,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（武汉）,瓜子网,2
南京,2017-09-28,福特,嘉年华两厢,二手车之家,南京佳信二手车,网络媒体,3
北京,2017-09-28,福特,嘉年华两厢,淘车,人人车（北京）,人人车网,2
运城,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（运城）,瓜子网,2
佛山,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（佛山）,瓜子网,2
长春,2017-09-28,福特,嘉年华两厢,淘车,人人车（长春）,人人车网,2
郑州,2017-09-28,福特,嘉年华两厢,淘车,好车无忧（郑州）,好车无忧,2
郑州,2017-09-28,福特,嘉年华两厢,淘车,好车无忧（郑州）,好车无忧,2
郑州,2017-09-28,福特,嘉年华两厢,淘车,好车无忧（郑州）,好车无忧,2
中山,2017-09-28,福特,嘉年华三厢,瓜子,瓜子（中山）,瓜子网,2
南昌,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（南昌）,瓜子网,2
太原,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（太原）,瓜子网,2
郑州,2017-09-28,福特,嘉年华三厢,淘车,好车无忧（郑州）,好车无忧,2
郑州,2017-09-28,福特,嘉年华两厢,淘车,好车无忧（郑州）,好车无忧,2
郑州,2017-09-28,福特,嘉年华两厢,淘车,好车无忧（郑州）,好车无忧,2
郑州,2017-09-28,福特,嘉年华两厢,淘车,好车无忧（郑州）,好车无忧,2
德阳,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（德阳）,瓜子网,2
郑州,2017-09-28,福特,嘉年华两厢,淘车,好车无忧（郑州）,好车无忧,2
鞍山,2017-09-28,福特,嘉年华三厢,瓜子,瓜子（鞍山）,瓜子网,2
深圳,2017-09-28,福特,嘉年华两厢,瓜子,瓜子（深圳）,瓜子网,2
杭州,2017-09-27,福特,嘉年华两厢,二手车之家,杭州骏达旧机动车经纪有限公司,网络媒体,3
成都,2017-09-27,福特,嘉年华两厢,瓜子,瓜子（成都）,瓜子网,2
惠州,2017-09-27,福特,嘉年华两厢,二手车之家,看车网（惠州）,看车网,2
苏州,2017-09-27,福特,嘉年华两厢,二手车之家,苏州信宝行汽车销售服务有限公司,华晨宝马,3
上海,2017-09-27,福特,嘉年华两厢,瓜子,瓜子（上海）,瓜子网,2
龙岩,2017-09-27,福特,嘉年华两厢,二手车之家,龙岩市新罗区旺荣二手车行,网络媒体,3
青岛,2017-09-27,福特,嘉年华三厢,瓜子,瓜子（青岛）,瓜子网,2
宁波,2017-09-27,福特,嘉年华两厢,瓜子,瓜子（宁波）,瓜子网,2
常德,2017-09-27,福特,嘉年华两厢,二手车之家,常德澧县九澧二手车,网络媒体,3
上海,2017-09-27,福特,嘉年华三厢,瓜子,瓜子（上海）,瓜子网,2
南宁,2017-09-27,福特,嘉年华两厢,二手车之家,看车网（南宁）,看车网,2
石家庄,2017-09-27,福特,嘉年华三厢,淘车,裕华区天泰汽车服务中心,网络媒体,3
石家庄,2017-09-27,福特,嘉年华三厢,二手车之家,石家庄小刚二手车交易中心,网络媒体,3
北京,2017-09-27,福特,嘉年华三厢,瓜子,瓜子（北京）,瓜子网,2
苏州,2017-09-27,福特,嘉年华三厢,二手车之家,看车网（苏州）,看车网,2
重庆,2017-09-27,福特,嘉年华两厢,瓜子,瓜子（重庆）,瓜子网,2
太原,2017-09-27,福特,嘉年华三厢,二手车之家,太原市福瑞隆晟机动车有限公司,网络媒体,3
南京,2017-09-27,福特,嘉年华两厢,淘车,人人车（南京）,人人车网,2
天津,2017-09-26,福特,嘉年华两厢,淘车,天津市永濠奥达汽车销售服务有限公司,一汽奥迪,3
淮安,2017-09-26,福特,嘉年华三厢,二手车之家,江苏淘车乐淮安分公司,网络媒体,2
大连,2017-09-26,福特,嘉年华三厢,淘车,人人车（大连）,人人车网,2
淮安,2017-09-26,福特,嘉年华两厢,淘车,江苏淘车乐淮安分公司,网络媒体,2
济南,2017-09-26,福特,嘉年华两厢,瓜子,瓜子（济南）,瓜子网,2
重庆,2017-09-26,福特,嘉年华三厢,瓜子,瓜子（重庆）,瓜子网,2
重庆,2017-09-26,福特,嘉年华两厢,瓜子,瓜子（重庆）,瓜子网,2
黔南,2017-09-26,福特,嘉年华三厢,人人车,人人车（贵阳）,人人车网,2
贵阳,2017-09-26,福特,嘉年华三厢,淘车,人人车（贵阳）,人人车网,2
德阳,2017-09-26,福特,嘉年华两厢,瓜子,瓜子（德阳）,瓜子网,2
威海,2017-09-26,福特,嘉年华三厢,瓜子,瓜子（威海）,瓜子网,2
昆明,2017-09-26,福特,嘉年华两厢,瓜子,瓜子（昆明）,瓜子网,2
济宁,2017-09-26,福特,嘉年华两厢,长安福特,济宁福泰阳光（长安福特）,长安福特,3
福州,2017-09-26,福特,嘉年华两厢,人人车,人人车（福州）,人人车网,2
南京,2017-09-26,福特,嘉年华两厢,人人车,人人车（南京）,人人车网,2
南京,2017-09-26,福特,嘉年华两厢,人人车,人人车（南京）,人人车网,2
深圳,2017-09-26,福特,嘉年华三厢,人人车,人人车（深圳）,人人车网,2
东莞,2017-09-26,福特,嘉年华两厢,人人车,人人车（东莞）,人人车网,2
贵阳,2017-09-26,福特,嘉年华两厢,人人车,人人车（上海）,人人车网,2
上海,2017-09-26,福特,嘉年华两厢,淘车,人人车（上海）,人人车网,2
大连,2017-09-26,福特,嘉年华两厢,人人车,人人车（大连）,人人车网,2
济宁,2017-09-26,福特,嘉年华三厢,瓜子,瓜子（济宁）,瓜子网,2
上海,2017-09-26,福特,嘉年华三厢,二手车之家,上海诚兴二手车经销有限公司,网络媒体,3
沈阳,2017-09-26,福特,嘉年华两厢,瓜子,瓜子（沈阳）,瓜子网,2
浙江,2017-09-26,福特,嘉年华两厢,东风悦达起亚,浙江日通汽车销售有限公司,东风悦达起亚,3
南昌,2017-09-25,福特,嘉年华两厢,瓜子,瓜子（南昌）,瓜子网,2
南京,2017-09-25,福特,嘉年华两厢,瓜子,瓜子（南京）,瓜子网,2
哈尔滨,2017-09-25,福特,嘉年华两厢,人人车,人人车（哈尔滨）,人人车网,2
太原,2017-09-25,福特,嘉年华两厢,人人车,人人车（太原）,人人车网,2
北京,2017-09-25,福特,嘉年华两厢,人人车,人人车（北京）,人人车网,2
泉州,2017-09-25,福特,嘉年华三厢,瓜子,瓜子（泉州）,瓜子网,2
佛山,2017-09-25,福特,嘉年华两厢,淘车,人人车（佛山）,人人车网,2
六安,2017-09-25,福特,嘉年华两厢,瓜子,瓜子（六安）,瓜子网,2
石家庄,2017-09-25,福特,嘉年华两厢,淘车,人人车（石家庄）,人人车网,2
内江,2017-09-25,福特,嘉年华两厢,瓜子,瓜子（内江）,瓜子网,2
佛山,2017-09-25,福特,嘉年华三厢,淘车,人人车（佛山）,人人车网,2
昆明,2017-09-25,福特,嘉年华两厢,人人车,人人车（昆明）,人人车网,2
杭州,2017-09-25,福特,嘉年华两厢,瓜子,瓜子（杭州）,瓜子网,2
顺德,2017-09-25,福特,嘉年华三厢,人人车,人人车（佛山）,人人车网,2
武汉,2017-09-25,福特,嘉年华三厢,淘车,看车网（武汉）,看车网,2
济南,2017-09-25,福特,嘉年华两厢,淘车,看车网（济南）,看车网,2
大连,2017-09-25,福特,嘉年华三厢,二手车之家,大连金超二手车销售有限公司,网络媒体,3
成都,2017-09-25,福特,嘉年华三厢,瓜子,瓜子（成都）,瓜子网,2
济宁,2017-09-25,福特,嘉年华两厢,瓜子,瓜子（济宁）,瓜子网,2
太原,2017-09-25,福特,嘉年华三厢,人人车,人人车（太原）,人人车网,2
盐城,2017-09-25,福特,嘉年华两厢,二手车之家,江苏森风怀德汽车销售有限公司,一汽奥迪,3
南京,2017-09-25,福特,嘉年华两厢,人人车,人人车（南京）,人人车网,2
成都,2017-09-25,福特,嘉年华三厢,淘车,人人车（成都）,人人车网,2
无锡,2017-09-25,福特,嘉年华两厢,上海通用,无锡华通汽车销售有限公司,上汽通用别克,3
南通,2017-09-25,福特,嘉年华两厢,人人车,人人车（南通）,人人车网,2
西安,2017-09-25,福特,嘉年华两厢,瓜子,瓜子（西安）,瓜子网,2
芜湖,2017-09-25,福特,嘉年华两厢,瓜子,瓜子（芜湖）,瓜子网,2
广州,2017-09-25,福特,嘉年华两厢,瓜子,瓜子（广州）,瓜子网,2
许昌,2017-09-25,福特,嘉年华两厢,瓜子,瓜子（许昌）,瓜子网,2
南宁,2017-09-25,福特,嘉年华两厢,二手车之家,看车网（南宁）,看车网,2
重庆,2017-09-25,福特,嘉年华三厢,二手车之家,看车网（重庆）,看车网,2
武汉,2017-09-25,福特,嘉年华两厢,瓜子,瓜子（武汉）,瓜子网,2
无锡,2017-09-25,福特,嘉年华三厢,淘车,看车网（无锡）,看车网,2
南京,2017-09-25,福特,嘉年华三厢,淘车,南京市栖霞区德隆二手车服务部,网络媒体,3
合肥,2017-09-24,福特,嘉年华两厢,二手车之家,安徽翼丰汽贸有限公司,网络媒体,3
上海,2017-09-24,福特,嘉年华三厢,淘车,人人车（上海）,人人车网,2
成都,2017-09-24,福特,嘉年华两厢,人人车,人人车（成都）,人人车网,2
兰州,2017-09-24,福特,嘉年华两厢,人人车,人人车（兰州）,人人车网,2
苏州,2017-09-24,福特,嘉年华两厢,人人车,人人车（苏州）,人人车网,2
西安,2017-09-24,福特,嘉年华两厢,瓜子,瓜子（西安）,瓜子网,2
沈阳,2017-09-24,福特,嘉年华两厢,人人车,人人车（沈阳）,人人车网,2
昆明,2017-09-24,福特,嘉年华两厢,人人车,人人车（昆明）,人人车网,2
南京,2017-09-24,福特,嘉年华两厢,人人车,人人车（贵阳）,人人车网,2
石家庄,2017-09-24,福特,嘉年华两厢,人人车,人人车（石家庄）,人人车网,2
苏州,2017-09-24,福特,嘉年华两厢,瓜子,瓜子（苏州）,瓜子网,2
厦门,2017-09-24,福特,嘉年华两厢,瓜子,瓜子（厦门）,瓜子网,2
乌鲁木齐,2017-09-24,福特,嘉年华两厢,人人车,人人车（乌鲁木齐）,人人车网,2
天津,2017-09-24,福特,嘉年华三厢,人人车,人人车（天津）,人人车网,2
青岛,2017-09-24,福特,嘉年华三厢,人人车,人人车（青岛）,人人车网,2
成都,2017-09-24,福特,嘉年华两厢,大搜车,成都车先生汽车服务有限公司,网络媒体,2
成都,2017-09-24,福特,嘉年华两厢,瓜子,瓜子（成都）,瓜子网,2
北京,2017-09-24,福特,嘉年华三厢,搜狐,北京运通博雅汽车销售服务有限公司,上汽通用别克,3
大连,2017-09-24,福特,嘉年华三厢,瓜子,瓜子（大连）,瓜子网,2
泰州,2017-09-24,福特,嘉年华三厢,淘车,江苏淘车乐泰州公司,网络媒体,2
沈阳,2017-09-24,福特,嘉年华两厢,人人车,人人车（沈阳）,人人车网,2
金华,2017-09-24,福特,嘉年华两厢,瓜子,瓜子（金华）,瓜子网,2
包头,2017-09-24,福特,嘉年华两厢,人人车,人人车（呼和浩特）,人人车网,2
包头,2017-09-24,福特,嘉年华两厢,瓜子,瓜子（包头）,瓜子网,2
漳州,2017-09-24,福特,嘉年华三厢,瓜子,瓜子（漳州）,瓜子网,2
东莞,2017-09-24,福特,嘉年华三厢,淘车,东莞市信赖二手车销售服务有限公司,网络媒体,3
石家庄,2017-09-24,福特,嘉年华三厢,上海通用,石家庄拓翔销售服务有限公司,上汽通用别克,3
成都,2017-09-24,福特,嘉年华两厢,二手车之家,成都易淘车（成都志扬汽车销售有限公司）,网络媒体,3
上海,2017-09-24,福特,嘉年华两厢,瓜子,瓜子（上海）,瓜子网,2
贵阳,2017-09-24,福特,嘉年华两厢,淘车,人人车（贵阳）,人人车网,2
南宁,2017-09-23,福特,嘉年华两厢,淘车,人人车（南宁）,人人车网,2
深圳,2017-09-23,福特,嘉年华三厢,人人车,人人车（上海）,人人车网,2
上海,2017-09-23,福特,嘉年华三厢,淘车,人人车（上海）,人人车网,2
成都,2017-09-23,福特,嘉年华两厢,大搜车,成都车先生汽车服务有限公司,网络媒体,2
玉林,2017-09-23,福特,嘉年华两厢,淘车,看车网（玉林）,看车网,2
太原,2017-09-23,福特,嘉年华三厢,瓜子,瓜子（太原）,瓜子网,2
沈阳,2017-09-23,福特,嘉年华三厢,淘车,沈阳华之菱汽车销售有限公司,广汽三菱,3
深圳,2017-09-23,福特,嘉年华三厢,淘车,人人车（深圳）,人人车网,2
广州,2017-09-23,福特,嘉年华两厢,淘车,人人车（广州）,人人车网,2
北京,2017-09-23,福特,嘉年华两厢,瓜子,瓜子（北京）,瓜子网,2
包头,2017-09-23,福特,嘉年华两厢,瓜子,瓜子（包头）,瓜子网,2
阳江,2017-09-23,福特,嘉年华两厢,人人车,人人车（广州）,人人车网,2
济南,2017-09-23,福特,嘉年华三厢,二手车之家,济南万诚汽车销售有限公司,网络媒体,3
郑州,2017-09-23,福特,嘉年华三厢,上海通用,河南威佳诚新二手车大卖场,上汽通用别克,3
上海,2017-09-23,福特,嘉年华三厢,瓜子,瓜子（上海）,瓜子网,2
北京,2017-09-23,福特,嘉年华两厢,人人车,人人车（北京）,人人车网,2
济南,2017-09-23,福特,嘉年华两厢,二手车之家,看车网（济南）,看车网,2
长沙,2017-09-23,福特,嘉年华三厢,人人车,人人车（长沙）,人人车网,2
成都,2017-09-23,福特,嘉年华三厢,人人车,人人车（成都）,人人车网,2
厦门,2017-09-23,福特,嘉年华两厢,瓜子,瓜子（厦门）,瓜子网,2
重庆,2017-09-23,福特,嘉年华两厢,二手车之家,看车网（重庆）,看车网,2
佛山,2017-09-23,福特,嘉年华两厢,二手车之家,看车网（佛山）,看车网,2
金华,2017-09-23,福特,嘉年华三厢,人人车,人人车（杭州）,人人车网,2
哈尔滨,2017-09-23,福特,嘉年华两厢,瓜子,瓜子（哈尔滨）,瓜子网,2
深圳,2017-09-23,福特,嘉年华三厢,瓜子,瓜子（深圳）,瓜子网,2
南昌,2017-09-23,福特,嘉年华两厢,人人车,人人车（南昌）,人人车网,2
桂林,2017-09-23,福特,嘉年华两厢,瓜子,瓜子（桂林）,瓜子网,2
深圳,2017-09-23,福特,嘉年华(进口),瓜子,瓜子（深圳）,瓜子网,2
杭州,2017-09-22,福特,嘉年华三厢,长安福特,万国美福（长安福特）,长安福特,3
东莞,2017-09-22,福特,嘉年华两厢,淘车,人人车（东莞）,人人车网,2
沈阳,2017-09-22,福特,嘉年华两厢,人人车,人人车（沈阳）,人人车网,2
哈尔滨,2017-09-22,福特,嘉年华两厢,人人车,人人车（哈尔滨）,人人车网,2
无锡,2017-09-22,福特,嘉年华两厢,人人车,人人车（无锡）,人人车网,2
深圳,2017-09-22,福特,嘉年华两厢,人人车,人人车（东莞）,人人车网,2
温州,2017-09-22,福特,嘉年华两厢,瓜子,瓜子（温州）,瓜子网,2
苏州,2017-09-22,福特,嘉年华两厢,华夏二手车,苏州市工业园区娄葑镇玖鑫汽车服务部,网络媒体,3
中山,2017-09-22,福特,嘉年华两厢,二手车之家,看车网（中山）,看车网,2
贵阳,2017-09-22,福特,嘉年华两厢,淘车,人人车（贵阳）,人人车网,2
大连,2017-09-22,福特,嘉年华两厢,淘车,人人车（大连）,人人车网,2
济南,2017-09-22,福特,嘉年华两厢,二手车之家,山东润华二手车交易中心有限公司,网络媒体,3
南通,2017-09-22,福特,嘉年华三厢,淘车,人人车（南通）,人人车网,2
常州,2017-09-22,福特,嘉年华两厢,瓜子,瓜子（常州）,瓜子网,2
长春,2017-09-22,福特,嘉年华三厢,瓜子,瓜子（长春）,瓜子网,2
沈阳,2017-09-22,福特,嘉年华两厢,瓜子,瓜子（沈阳）,瓜子网,2
柳州,2017-09-22,福特,嘉年华三厢,瓜子,瓜子（柳州）,瓜子网,2
南京,2017-09-22,福特,嘉年华三厢,人人车,人人车（南京）,人人车网,2
泰安,2017-09-22,福特,嘉年华三厢,瓜子,瓜子（泰安）,瓜子网,2
苏州,2017-09-22,福特,嘉年华两厢,瓜子,瓜子（苏州）,瓜子网,2
杭州,2017-09-22,福特,嘉年华两厢,二手车之家,杭州同清旧机动车经纪有限公司,网络媒体,3
鞍山,2017-09-22,福特,嘉年华两厢,瓜子,瓜子（鞍山）,瓜子网,2
郑州,2017-09-22,福特,嘉年华两厢,上海通用,河南威佳诚新二手车大卖场,上汽通用别克,3
合肥,2017-09-22,福特,嘉年华三厢,瓜子,瓜子（合肥）,瓜子网,2
成都,2017-09-22,福特,嘉年华三厢,淘车,好车无忧（成都）,好车无忧,2
郑州,2017-09-22,福特,嘉年华两厢,淘车,人人车（郑州）,人人车网,2
南通,2017-09-22,福特,嘉年华两厢,淘车,人人车（南通）,人人车网,2
成都,2017-09-21,福特,嘉年华两厢,淘车,好车无忧（成都）,好车无忧,2
烟台,2017-09-21,福特,嘉年华两厢,瓜子,瓜子（烟台）,瓜子网,2
南通,2017-09-21,福特,嘉年华三厢,人人车,人人车（南通）,人人车网,2
成都,2017-09-21,福特,嘉年华三厢,人人车,人人车（成都）,人人车网,2
重庆,2017-09-21,福特,嘉年华两厢,淘车,重庆车之宝汽车,网络媒体,3
苏州,2017-09-21,福特,嘉年华两厢,二手车之家,看车网（苏州）,看车网,2
徐州,2017-09-21,福特,嘉年华两厢,瓜子,瓜子（徐州）,瓜子网,2
成都,2017-09-21,福特,嘉年华两厢,大搜车,四川好车易到汽车销售服务有限公司,网络媒体,3
南京,2017-09-21,福特,嘉年华三厢,淘车,人人车（南京）,人人车网,2
深圳,2017-09-21,福特,嘉年华两厢,淘车,人人车（深圳）,人人车网,2
长沙,2017-09-21,福特,嘉年华两厢,人人车,人人车（长沙）,人人车网,2
梅州,2017-09-21,福特,嘉年华两厢,人人车,人人车（深圳）,人人车网,2
苏州,2017-09-21,福特,嘉年华两厢,二手车之家,看车网（苏州）,看车网,2
淄博,2017-09-21,福特,嘉年华两厢,二手车之家,淄博世纪蓝天汽车销售服务有限公司,上汽大众,3
中山,2017-09-21,福特,嘉年华两厢,人人车,人人车（中山）,人人车网,2
青岛,2017-09-21,福特,嘉年华两厢,淘车,青岛成利达汽车销售服务有限公司,长安福特,3
洛阳,2017-09-21,福特,嘉年华两厢,淘车,人人车（洛阳）,人人车网,2
无锡,2017-09-21,福特,嘉年华两厢,淘车,人人车（无锡）,人人车网,2
青岛,2017-09-21,福特,嘉年华两厢,淘车,人人车（青岛）,人人车网,2
成都,2017-09-21,福特,嘉年华两厢,大搜车,成都车先生汽车服务有限公司,网络媒体,2
青岛,2017-09-21,福特,嘉年华两厢,长安福特,青岛成利达汽车销售服务有限公司,长安福特,3
南京,2017-09-21,福特,嘉年华三厢,瓜子,瓜子（南京）,瓜子网,2
苏州,2017-09-21,福特,嘉年华两厢,瓜子,瓜子（苏州）,瓜子网,2
湖南,2017-09-21,福特,嘉年华两厢,东风悦达起亚,娄底市华新汽车销售服务有限公司,东风悦达起亚,3
合肥,2017-09-21,福特,嘉年华两厢,二手车之家,看车网（合肥）,看车网,2
南宁,2017-09-21,福特,嘉年华两厢,淘车,人人车（南宁）,人人车网,2
苏州,2017-09-21,福特,嘉年华两厢,瓜子,瓜子（苏州）,瓜子网,2
长春,2017-09-21,福特,嘉年华两厢,淘车,人人车（长春）,人人车网,2
芜湖,2017-09-21,福特,嘉年华两厢,瓜子,瓜子（芜湖）,瓜子网,2
温州,2017-09-21,福特,嘉年华两厢,二手车之家,温州红源汽车销售服务有限公司,一汽奥迪,3
哈尔滨,2017-09-21,福特,嘉年华两厢,瓜子,瓜子（哈尔滨）,瓜子网,2
柳州,2017-09-21,福特,嘉年华两厢,二手车之家,看车网（柳州）,看车网,2
山西,2017-09-21,福特,嘉年华两厢,东风悦达起亚,山西诺维兰集团运城瑞悦汽车销售有限公司,东风悦达起亚,3
北京,2017-09-21,福特,嘉年华两厢,二手车之家,看车网（北京）,看车网,2
济南,2017-09-20,福特,嘉年华两厢,人人车,人人车（济南）,人人车网,2
成都,2017-09-20,福特,嘉年华两厢,淘车,人人车（成都）,人人车网,2
沈阳,2017-09-20,福特,嘉年华三厢,二手车之家,看车网（沈阳）,看车网,2
杭州,2017-09-20,福特,嘉年华三厢,人人车,人人车（杭州）,人人车网,2
济南,2017-09-20,福特,嘉年华两厢,瓜子,瓜子（济南）,瓜子网,2
保定,2017-09-20,福特,嘉年华三厢,人人车,人人车（保定）,人人车网,2
青岛,2017-09-20,福特,嘉年华两厢,淘车,人人车（青岛）,人人车网,2
东莞,2017-09-20,福特,嘉年华两厢,瓜子,瓜子（东莞）,瓜子网,2
嘉兴,2017-09-20,福特,嘉年华三厢,瓜子,瓜子（嘉兴）,瓜子网,2
石家庄,2017-09-20,福特,嘉年华三厢,淘车,人人车（石家庄）,人人车网,2
柳州,2017-09-20,福特,嘉年华三厢,二手车之家,看车网（柳州）,看车网,2
重庆,2017-09-20,福特,嘉年华两厢,淘车,看车网（重庆）,看车网,2
南宁,2017-09-20,福特,嘉年华两厢,二手车之家,看车网（南宁）,看车网,2
佛山,2017-09-20,福特,嘉年华两厢,二手车之家,佛山市南海柒星汽车贸易有限公司,网络媒体,3
西安,2017-09-20,福特,嘉年华(进口),淘车,西安优自得汽车销售服务有限公司,网络媒体,3
西安,2017-09-20,福特,嘉年华两厢,淘车,西安车管家,网络媒体,3
无锡,2017-09-20,福特,嘉年华两厢,二手车之家,看车网（无锡）,看车网,2
中山,2017-09-20,福特,嘉年华三厢,瓜子,瓜子（中山）,瓜子网,2
山东,2017-09-20,福特,嘉年华三厢,东风悦达起亚,青岛韩亚汽车销售服务有限公司,东风悦达起亚,3
许昌,2017-09-20,福特,嘉年华两厢,瓜子,瓜子（许昌）,瓜子网,2
青岛,2017-09-20,福特,嘉年华三厢,淘车,人人车（青岛）,人人车网,2
天津,2017-09-20,福特,嘉年华三厢,淘车,人人车（天津）,人人车网,2
武汉,2017-09-20,福特,嘉年华两厢,淘车,人人车（武汉）,人人车网,2
兰州,2017-09-20,福特,嘉年华两厢,二手车之家,兰州诺丽骑汽车贸易有限公司,网络媒体,3
武汉,2017-09-20,福特,嘉年华两厢,二手车之家,武汉洪峰二手车,网络媒体,3
成都,2017-09-20,福特,嘉年华两厢,淘车,人人车（成都）,人人车网,2
成都,2017-09-20,福特,嘉年华两厢,淘车,人人车（成都）,人人车网,2
